ID,course,URL,coupon,fullURL
10,Build 4 Chrome Extensions - Quick Start - Free Course,https://udemy.com/course/build-four-chrome-extensions/,,https://udemy.com/course/build-four-chrome-extensions/
11,Digital Marketing for Websites: Basics of SEO & Analytics,https://udemy.com/course/digital-marketing-for-websites-basics-of-seo-and-analytics/,,https://udemy.com/course/digital-marketing-for-websites-basics-of-seo-and-analytics/
12,Galen UI LAYOUT automation testing with Cucumber & Java,https://udemy.com/course/galen-ui-layout-automation-testing/,,https://udemy.com/course/galen-ui-layout-automation-testing/
13,Photoshop All You Need To Know,https://udemy.com/course/photoshop-all-you-need-to-know/,FOR-YOU,https://udemy.com/course/photoshop-all-you-need-to-know/?couponCode=FOR-YOU
14,Secure Your ReactJs Applications With Auth0,https://udemy.com/course/secure-your-reactjs-applications-with-auth0/,,https://udemy.com/course/secure-your-reactjs-applications-with-auth0/
15,Blogger Training,https://udemy.com/course/blogging-for-business/,,https://udemy.com/course/blogging-for-business/
16,React for Beginners with Hooks - 2021,https://udemy.com/course/react-for-beginners-with-hooks-2021/,,https://udemy.com/course/react-for-beginners-with-hooks-2021/
17,Google Spreadsheet Data API Apps Script Code JSON JavaScript,https://udemy.com/course/sheet-as-json/,,https://udemy.com/course/sheet-as-json/
18,Rock Paper Scissors - Python Tutorial,https://udemy.com/course/rock-paper-scissors-python/,,https://udemy.com/course/rock-paper-scissors-python/
19,Complete GIT and GitHub Crash Course,https://udemy.com/course/complete-git-and-github-crash-course/,,https://udemy.com/course/complete-git-and-github-crash-course/
