index,Course Title,Course URL,Course Coupon,Course Full URL
0,Learn jQuery – For Beginners,https://www.udemy.com/course/learn-jquery-for-beginners/,YOUACCEL22983,https://www.udemy.com/course/learn-jquery-for-beginners/?couponCode=YOUACCEL22983
1,Learn Bootstrap – For Beginners,https://www.udemy.com/course/learn-bootstrap-for-beginners/,YOUACCEL22983,https://www.udemy.com/course/learn-bootstrap-for-beginners/?couponCode=YOUACCEL22983
2,Learn MySQL – For Beginners,https://www.udemy.com/course/learn-mysql-for-beginners/,YOUACCEL22983,https://www.udemy.com/course/learn-mysql-for-beginners/?couponCode=YOUACCEL22983
3,Microsoft Project 2016 Essentials & Advanced,https://www.udemy.com/course/ms-project-2016-essentials-advanced/,9FC23A9AB0F2CE0F0E6A,https://www.udemy.com/course/ms-project-2016-essentials-advanced/?couponCode=9FC23A9AB0F2CE0F0E6A
4,Python for beginners – Learn all the basics of python,https://www.udemy.com/course/python-for-beginners-learn-all-the-basics-of-python/,536CBA708CA386A2CCF5,https://www.udemy.com/course/python-for-beginners-learn-all-the-basics-of-python/?couponCode=536CBA708CA386A2CCF5
5,Python 2021:Complete Python Bootcamp:Zero-Hero Programming,https://www.udemy.com/course/complete-python-bootcamp-for-beginners/,PYTHON_MARCH2,https://www.udemy.com/course/complete-python-bootcamp-for-beginners/?couponCode=PYTHON_MARCH2
6,Master Java Collection Framework,https://www.udemy.com/course/master-java-collection-framework/,100FREE,https://www.udemy.com/course/master-java-collection-framework/?couponCode=100FREE
7,SQL for Data Analysis and Data Science in 2021,https://www.udemy.com/course/sql-course-for-data-science/,E7B441113C11D5A28526,https://www.udemy.com/course/sql-course-for-data-science/?couponCode=E7B441113C11D5A28526
8,Microsoft Clarity for Web Analytics : A-Z Complete Tutorial,https://www.udemy.com/course/microsoft-clarity-for-website-analytics-a-to-z-complete-tutorial/,MS_CLARITY,https://www.udemy.com/course/microsoft-clarity-for-website-analytics-a-to-z-complete-tutorial/?couponCode=MS_CLARITY
9,Java 2021:Complete Java Masterclass:Zero to Hero Programming,https://www.udemy.com/course/the-complete-java-from-zero-to-hero2021/,JAVA_MARCH2,https://www.udemy.com/course/the-complete-java-from-zero-to-hero2021/?couponCode=JAVA_MARCH2
10,How to Make Money Online for Beginners: Follow PROVEN STEPS!,https://www.udemy.com/course/make-money-online-for-beginners/,E0DDCC0BCDE065242392,https://www.udemy.com/course/make-money-online-for-beginners/?couponCode=E0DDCC0BCDE065242392
11,Learn PHP – For Beginners,https://www.udemy.com/course/learn-php-for-beginners-n/,YOUACCEL22983,https://www.udemy.com/course/learn-php-for-beginners-n/?couponCode=YOUACCEL22983
12,Shopify guide: The complete shopify store creation course,https://www.udemy.com/course/the-complete-shopify-store-creation-course/,C1DA181D1DB104ABCBAE,https://www.udemy.com/course/the-complete-shopify-store-creation-course/?couponCode=C1DA181D1DB104ABCBAE
13,Ultimate Adobe Photoshop CC Masterclass Basics To Advanced,https://www.udemy.com/course/ultimate-adobe-photoshop-cc-masterclass-basics-to-advanced/,FREE2021_PHOTOSHOP,https://www.udemy.com/course/ultimate-adobe-photoshop-cc-masterclass-basics-to-advanced/?couponCode=FREE2021_PHOTOSHOP
14,Python Programming Full Course for Beginners 2021 ( Hindi ),https://www.udemy.com/course/python-course-for-beginners-in-hindi/,DISCUDEMY.COM,https://www.udemy.com/course/python-course-for-beginners-in-hindi/?couponCode=DISCUDEMY.COM
15,Basics Of Flat Design Illustrations In Canva,https://www.udemy.com/course/how-to-do-flat-design-for-social-media-marketing-in-canva/,571D2F6F9651054FA8DC,https://www.udemy.com/course/how-to-do-flat-design-for-social-media-marketing-in-canva/?couponCode=571D2F6F9651054FA8DC
